profID,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex
22630,2008-02-12 11:00,35.0,6,3,148.0,3.0,2.0,-999,190.0,0,178.46,128.96,1.09,0.31,0.47,0.0,4,241.5,58.76,35,221.5596330275229,104.13302752293578,49.5,191.22054545454543,231.05737179871937,69.24281865450385,240.10853453116215,242.95362946912243,0.22,0.53,-1.5,2.326042590949424,0.75,1.11,-0.6329,0.3077204674390297,0.3870389944655117,1.0973902267535067,0.8313089996121097,0.4187130372108144,20142.14282078962,0.0634202734267326,-0.1,3.9
22610,2008-02-12 11:00,38.0,6,3,92.0,3.0,2.0,-999,123.0,1,130.05,92.5,1.12,0.25,0.45,0.0,4,215.9,58.27,35,192.76785714285717,86.7455357142857,37.55000000000001,172.1443675099867,197.8676351140365,53.07725234508601,202.12570239334028,203.37638554216858,0.22,0.30000000000000016,0.0,1.5297054869576026,0.59,0.87,-0.4153,0.4056501501526489,0.5066712669727853,0.667163460033938,0.3930315364612104,0.3248159933245344,17865.305898491086,0.06256833852332133,-0.0,5.82
22691,2008-02-12 11:00,35.0,3,2,106.0,2.0,1.0,-999,108.0,0,118.79,116.14,1.03,0.33,0.25,0.0,4,129.4,6.934,5,125.63106796116504,31.40776699029126,2.6500000000000057,107.78603773584905,76.36981357003556,29.97123071706543,107.78603773584905,100.37936507936506,0.21,-0.23,0.0,0.7233323520031403,0.46,0.3,-0.02585,5.747986089898863,6.875751929406017,6.0,6.0,0.13160139103467364,6598.319398496242,0.007231886280991358,-0.1,6.0
22692,2008-02-12 12:00,35.0,4,2,108.0,3.0,1.0,0,132.0,1,138.03,97.14,1.1,0.32,0.49,0.0,4,241.6,52.81,36,219.63636363636363,107.62181818181816,40.89,184.0303252629004,174.66981442293073,68.32856714309057,214.21844559585492,229.75015706806286,0.21,-0.07999999999999985,0.0,0.8604360758783254,0.0,1.11,-0.5076,0.3725156062174608,0.4866284251034951,0.979854973665854,0.6014151920297337,0.3831759546780358,15136.592494744551,0.026231821159738825,-0.1,4.1
22693,2008-02-12 13:00,33.0,5,2,109.0,3.0,1.0,0,152.0,1,152.81,108.36,1.24,0.18,0.57,0.0,4,222.5,56.0,35,179.43548387096774,102.27822580645159,44.45,192.3007874015748,205.40877661000562,71.7294139979797,231.90293040293042,241.52543153049484,0.21,0.59,-1.5,2.4727121866897144,0.6,0.93,-0.5962,0.3426808355057811,0.39555314913223705,0.8767069355800949,0.7258736304405036,0.3699477954898742,18810.24151020827,0.04983824084791009,-0.1,3.76
22710,2008-02-12 14:00,28.0,4,2,79.0,3.0,1.0,0,123.0,1,130.64,84.12,2.02,0.0,1.13,0.0,5,217.7,63.68,44,107.77227722772275,121.78267326732671,46.51999999999998,194.2401332760103,211.99286979703288,72.66705166096192,246.27993216506505,254.15863013698623,0.21,0.8999999999999999,-0.5,2.087735415709692,0.68,0.89,-0.7044,0.32743256960945794,0.3663777581445315,0.8597171294358269,0.7550847070133099,0.23181148457296635,15006.310909233303,0.026343711431160908,-0.1,4.25
22650,2008-02-12 14:00,35.0,6,3,96.5,3.0,2.0,-999,127.0,1,127.84,85.31,1.49,0.21,0.75,0.0,4,228.8,59.69,44,153.55704697986582,115.16778523489937,42.53,194.32494709616745,171.27016026811185,73.26075037368858,225.20296371997964,235.97493857493853,0.2,0.55,-1.0,1.8282761121856863,0.0,0.99,-0.5479999999999999,0.35815102605765275,0.42051254796670784,0.9232544504032422,0.7414937241421112,0.31565782311420565,13842.372835555554,0.019401653987494483,-0.1,3.99
22730,2008-02-12 15:00,33.0,3,2,147.0,2.0,1.0,-999,175.0,1,171.15,149.44,1.24,0.21,0.46,0.0,4,158.8,19.67,20,128.06451612903226,58.90967741935484,21.710000000000008,144.20700138185163,292.3292676013566,44.84645737845579,148.59496919917862,159.31504065040647,0.22,0.54,0.0,1.9130982367758191,0.57,0.46,-0.2185,0.7016196747227991,0.7713009032920676,6.0,6.0,0.2012071055017873,17789.794178540982,0.09228788536353782,-0.1,6.0
22391,2008-02-12 15:00,42.0,4,1,57.0,2.0,1.7,-999,82.0,1,92.06,61.0,1.98,0.0,1.16,0.0,5,192.4,58.12,44,97.1717171717172,112.71919191919191,31.06,161.97289117836442,144.0661606801219,47.94247355908695,179.07044513457558,195.94754558204758,0.22,0.54,0.0,1.3635654885654884,0.87,0.69,-0.2769,0.4904109188097867,0.5806881089722502,0.35853418044313684,0.17953852973452605,0.16191328479980854,6681.134555874773,0.004097775857397011,-0.0,6.0
22870,2008-02-12 15:00,34.0,4,2,99.0,3.0,2.0,-999,124.0,0,132.1,85.09,1.73,0.04,0.95,0.0,5,207.3,64.06,44,119.82658959537571,113.83526011560694,47.00999999999999,184.00412678153583,215.2777124763876,63.27325971021264,228.36563011456627,234.63234042553185,0.22,0.6599999999999999,0.0,1.859384791556776,0.74,0.8,-0.5916,0.3240196370608801,0.364369816358152,0.7792436497459105,0.6741188447663037,0.2409895897483461,14216.545345056009,0.028744440833511718,-0.1,5.77
22731,2008-02-12 16:00,33.0,4,2,115.0,3.0,1.3,0,140.0,1,143.94,110.83,1.08,0.2,0.65,0.0,4,198.7,49.48,28,183.98148148148147,119.58796296296295,33.11,164.77780126849896,218.58984421298862,51.47436096117608,186.12787474332646,196.955,0.22,0.19000000000000009,0.0,1.3057005366341898,0.55,0.73,-0.3789,0.4600472104570214,0.5528857344568041,0.4472003899096554,0.24286898344199684,0.3063129839511581,7924.492738031201,0.006153911464867908,-0.1,6.0
