"triggerDateTime","coordX","coordY","startZoneElevation","startZoneAspect","fractureThicknessMean","size"
"2021-12-13 00:00:00",164933.045985257,734037.675089634,1367,"W",25,1
"2016-02-13 09:15:00",229599.864751506,745150.002524489,1800,"N",25,2
"2021-01-15 11:00:00",133825.690950489,604222.329862006,2679,"S",100,3
"2015-02-03 08:00:00",189595.65644236,780044.923735107,2701.5,"E",40,2
"2016-01-06 07:00:00",141275.996716897,642501.91509954,3000,"SE",40,2
"2021-02-04 14:15:00",153979.740417531,780559.65736604,2850,"SW",50,2
"2002-12-03 09:00:00",103270.068192207,637059.857999548,3400,"W",100,2
"2014-01-19 13:30:00",178510.773459456,785604.909260558,2400,"W",60,3
"2013-01-17 09:00:00",189829.87595196,736719.961533303,2200,"SW",20,2
"2016-01-14 07:00:00",192656.802237178,782146.421609202,2471.2,"NE",80,3
"1997-01-05 15:30:00",155999.799104295,788839.623683483,2300,"NW",30,3
"2002-11-15 11:00:00",199939.886872215,717929.989538497,2300,"NE",40,3
"2011-02-28 07:10:00",154485.931811137,780086.00871274,NA,"SE",30,2
"2022-02-23 09:05:00",100486.339053655,623462.553585751,3368,"S",50,3
"2013-02-22 11:20:00",181773.967728977,785873.943694677,2520,"E",50,3
"2006-02-18 08:00:00",181955.963425869,784867.943306593,2110,"NE",20,3
"2016-02-07 04:00:00",196577.917847301,772737.922206012,2320,"N",30,4
"2006-02-20 13:00:00",103700.081250741,564380.085014099,2000,"N",120,2
"2017-12-23 13:00:00",193801.940328207,676861.990792858,1940,"W",100,3
"2017-05-05 06:00:00",140509.011218589,789013.922293791,3214.5,"N",80,2
"2019-03-14 07:00:00",166591.126119796,732144.636421949,2231,"E",30,3
"2021-01-30 10:45:00",184739.799187105,787039.984003381,2330,"SW",80,4
"2021-12-05 07:30:00",104375.799536194,586874.773969345,2490,"NW",20,1
"2022-02-01 09:00:00",159971.631015913,729885.33318677,1950,"NW",30,2
"2013-12-29 14:30:00",170659.90016436,701769.940316668,1500,"S",50,2
"2021-03-16 08:30:00",166066.613684302,791811.216031816,2555,"SE",50,2
"2004-01-17 11:00:00",165170.28311026,828870.104425777,2700,"SE",100,3
"2007-01-06 09:00:00",177399.895291784,761699.951434796,2200,"W",50,3
"2017-12-13 23:00:00",99934.2438988309,567428.480902692,2202.2,"NE",80,3
"2021-05-02 10:00:00",141156.072118929,792506.547108361,3161,"NE",20,2
"2019-01-29 11:30:00",206377.029555215,749333.858417997,2315,"NE",35,1
"2012-12-28 14:30:00",181773.967728977,785873.943694677,2580,"S",40,2
"2015-02-07 11:00:00",148163.496464687,573917.97927101,1902.1,"SW",50,3
"2021-12-14 11:00:00",156395.959219756,784889.579019246,2284,"SE",40,2
"2011-02-10 14:00:00",180699.955665815,663349.967094981,2180,"SE",80,1
"2022-02-03 11:00:00",225680.157435167,742318.967188878,1925,"NW",75,3
"2009-02-13 16:00:00",181955.963425869,784867.943306593,2430,"SW",50,2
"2016-03-06 07:00:00",189426.406186385,779961.42422395,2700,"E",30,1
"2020-12-09 06:30:00",165647.066289329,734144.307377269,1284,"W",40,1
"2016-02-05 11:00:00",166005.986939503,791092.0017859,2700,"E",50,3
"2017-03-07 10:50:00",108879.989051328,588879.144719037,2445,"NE",80,2
"2010-12-26 14:50:00",96874.6706068374,627379.411643911,2850,"W",20,3
"2016-03-06 12:25:00",160730.226774666,728055.027014991,2372,"S",45,2
"2018-01-21 23:00:00",172862.683529436,798337.082490659,2371.6,"S",60,3
"2022-02-03 08:00:00",202335.525310218,693237.764085111,1680,"NW",40,2
"2019-02-04 07:00:00",204932.430205801,749652.056898034,2440,"NE",20,3
"2021-01-22 11:00:00",160812.176435341,794088.44109796,2808,"NE",80,3
"2019-12-24 11:00:00",224234.936344409,742422.630949991,2167,"NE",80,1
"2019-12-14 05:45:00",144003.606681381,783709.205428455,3048,"N",20,1
"2019-03-16 16:00:00",163744.326964464,728554.331320445,2901,"SE",25,3
"2022-04-28 09:00:00",166268.288964511,786563.136647563,3234,"SE",10,2
"2014-01-26 11:55:00",208515.87445997,743488.973015965,2116,"SE",25,3
